	ERR3470491	ERR3470495	ERR3470496	ERR3470497	ERR3470499	ERR3470501	ERR3470502	ERR3470503	ERR3470492	ERR3470493	ERR3470494	ERR3470484	ERR3470486	ERR3470487	ERR3470488	ERR3470490	ERR3470504	ERR3470505	ERR3470506	ERR3470507	ERR3470508	ERR3470510	ERR3470511	ERR3470512	ERR3470514	ERR3470515	ERR3470516	ERR3470517	ERR3470519	ERR3470520	ERR3470521	ERR3470522	ERR3470523	ERR3470524	ERR3470526	ERR3470527	ERR3470528	ERR3470529	ERR3470530	ERR3470531	ERR3470532	ERR3470535	ERR3470536
P1_I31_M1	0.16590151014889	-0.0505613676393355	-0.00100945086370163	-0.0508281264722718	-0.183947316634461	-0.133884235274347	0.113947860959146	-0.228593686658053	0.016186859914388	0.0919320916888454	0.27658920662446	-0.137522024772078	-0.0732221553375478	-0.136866675722034	0.207767723398369	-0.102629863184758	-0.110116112750135	0.129586102879658	-0.104319478720713	-0.199220496275824	0.103317151496326	0.160463035416826	-0.0605328644229308	-0.115100344958174	0.138705521387216	-0.196772165919177	-0.0799992106187381	-0.0246177222194639	0.364511231671612	0.111483443503315	0.158422534059285	0.151816901330472	0.338863505784946	-0.259054559314217	0.0259060392149155	0.150095034960043	-0.0381014120619602	-0.181391837076368	0.0103664442289668	-0.0096383915531345	-0.190600439511366	-0.0281364749078036	-0.0191957857990877
P1_I31_M2	-0.10197761013649	-0.133826536467769	-0.00212405460900833	0.023915391046503	-0.170395312799796	-0.132884808007272	0.0905662622378693	-0.178824850349426	-0.0897173769594224	-0.0281319050427077	0.292446628273031	-0.0473511552094956	0.0084199447491684	0.0893299207004095	0.0133350826951654	-0.0752894210497674	-0.137296932154434	-0.113802768661065	0.0100569972220967	-0.0615518025513178	-0.0954114691665739	0.154271047075077	-0.167614341114405	-0.0458495392307277	0.0236492421796705	-0.0931305143836093	-0.0502058833690028	-0.162480164385315	0.18849237305688	0.0468474777325684	0.039729979316886	0.263676462479196	0.258374841338326	-0.170253695271602	0.225421376455529	0.26075287664847	-0.183262277554269	-0.00936543558940828	0.313032063066801	0.339408738756938	-0.229015787079801	-0.103222788142756	-0.0587402757451456
P1_I31_M3	-0.130090465008846	-0.112262485252258	-0.00648669657041334	0.0652457441239976	-0.112522218364473	-0.0516431430896174	-0.0270638854372509	-0.0920132352773111	-0.123723669378116	-0.0917346051460722	0.0565309430844497	-0.0132422288732323	0.0903124680047266	0.357120766400002	-0.0661944187360808	-0.0696919337181196	-0.0734034637893228	-0.161858574398827	0.19642613700545	0.0132532261668071	-0.144720711703446	-0.0291506932435248	-0.143863611743984	0.0484784585455844	-0.0726897481749069	0.0195332136521566	0.0346318247391512	-0.19993045589964	-0.0139766668012117	0.0132997513518341	-0.0774297182226369	0.15323868267674	-0.037348227387316	-0.0465909939849873	0.251380660338449	0.151817852902559	-0.201780447179463	0.0548357934824614	0.526377653368845	0.35971156782683	-0.175506001288826	-0.0524393329422257	-0.0648371120579366
P1_I31_M5	-0.153132607896406	-0.14020800659066	-0.0387995261319151	0.0201206306717331	0.195373464507805	-0.190752196705402	-0.0478658974326242	-0.0950300845980131	-0.138828943305981	-0.0958032787017601	0.086050132125267	-0.0923246139439025	0.0974749208205373	-0.0524453524101196	-0.151468815812769	0.145359649035781	-0.0874217697960475	-0.173218740051365	0.0587333766312524	0.544446219540249	-0.0166518291458886	0.149368471901375	-0.172542205466979	0.0649072868657112	0.319329761265093	0.235148323338796	-0.111250784041817	-0.205741596551046	0.0310214383721318	-0.0458115809567679	-0.0640723566456461	0.135820044902075	0.116295572300502	-0.187391085264868	0.137186409318474	0.134688775444069	-0.187743203957377	-0.049910602057682	-0.0396660958072975	-0.00691872175274026	0.0329558095518195	-0.0498033797266015	0.0905229881590047
P1_I31_M6	-0.0420190180520509	0.0178863889524803	0.30517015153662	-0.0208539773490411	-0.0735266329661135	-0.0701617640251806	-0.019728694745128	-0.0764781578685736	-0.0939683841596348	0.0510220714695535	0.0326016721569742	-0.0406662835706302	0.0442470186372214	-0.0572318534218481	-0.0237231832326559	0.882048443628712	0.0195676965541792	0.00046398703361701	-0.0212813483287112	-0.05317559894403	-0.0654011071584249	-0.0338577820022231	-0.0863290359310683	-0.00981169266237323	-0.0835893742805401	0.0440292826960097	-0.0692876517662312	-0.0573243530932728	0.0123649197297322	-0.0293552472422621	-0.0651660702951824	0.017831585940717	-0.024173970752557	-0.0758450116548917	-0.0184664978368856	0.0137774049072219	-0.127278640851544	-0.0545447477305483	0.0725348854359156	0.0672028443420528	-0.0991071813394011	-0.0212740208896338	-0.0671210708703692
P1_I31_M7	0.172113956331296	-0.164852704713007	0.338312970703329	-0.146049962323774	-0.0913373038279864	0.377175087736447	-0.051598585996689	0.373026953700297	0.0329674560824153	-0.0518539929444495	0.130172193371702	-0.147163003173568	0.263311785597594	0.0246904639212105	-0.0756118269193259	-0.134049005183616	0.253859992515959	-0.0522356179720265	0.0175106078207056	-0.184881936838403	-0.00337772482507145	-0.047495365570659	-0.144607568346755	0.215428729819346	-0.0461981025190254	-0.127885031559463	0.0377915539542228	-0.153234152963653	0.0120146185595472	0.0599992329283899	-0.0725466527816594	0.00952634646785001	-0.0428017575077624	-0.127674010309961	-0.0578619045516611	0.00881279097922087	-0.155643446194738	-0.142755372591781	0.181909422568051	-0.0321918767958399	-0.196711803247277	0.0563782371920856	-0.114383690591516
P2_I6_M4	0.148078353427402	-0.0368946853053626	0.0144493444059724	0.0354751823993038	-0.141845759941652	-0.00132419292355789	0.450221585584103	-0.136661920253858	0.166559172776652	0.0339701804943504	-0.0178617018997939	-0.0767934526211383	-0.0941497919835655	-0.0745380692193627	0.409018655037556	-0.120051161442851	0.0796671212790377	0.411823060449412	-0.0972297829586223	-0.190394942599609	0.0484914193683971	-0.0326593011081091	0.00563457223492348	-0.119651546754935	-0.0209539551213627	-0.16001975558221	-0.0934853521376141	-0.0740944896701658	0.102131839781383	0.00277121066769388	0.182182319619067	-0.0168231987909198	0.186613579511354	-0.186790755610195	-0.110957263110709	-0.0229895009681337	-0.0779317065938226	-0.1354351397313	-0.0925372789692556	-0.060057190284062	-0.147736244783552	0.165489490732604	-0.102708947403491
P2_I6_M9	-0.039516898844804	0.178159743322042	0.139744438845444	-0.0294519806566955	0.0748897726921786	-0.0239450727624579	-0.108112943375749	0.170454464433544	-0.0627231484240173	0.105666230911243	-0.127495981209318	-0.0457737487231449	0.123403568269304	0.0227517940047321	-0.0773411471575857	0.184633571078232	0.393966411521573	0.148950317327828	0.0152007643311703	0.134026219987404	-0.126598928775271	-0.118838409219471	0.0354975925527213	0.0948106440626714	-0.163842664046572	0.553867715404089	0.0711858890088446	-0.215771341769079	-0.136936071598224	-0.0812062580421955	-0.124828875052916	-0.0252046449465736	-0.20490818814394	-0.0876637373972086	-0.13068777032722	-0.0191379828284326	-0.203394774458545	-0.0989194409180801	0.0101401868759384	-0.0226833454848589	-0.141450958160556	0.0411191707496514	-0.0820341830556942
P3_I12_M16	-0.143892177792621	-0.0648170798657816	0.193799812765873	-0.0809447765550184	0.102192353809323	-0.08144295238869	-0.112694688527208	-0.213858093501244	-0.109836600927421	-0.00912875035120082	0.233926514364779	-0.0015899311055019	-0.00828667571602887	-0.101104149472599	-0.105292306072913	-0.0610890033900051	-0.0587905370110511	-0.124320305845462	-0.0104449707640046	-0.00341397157347977	-0.115105840069993	0.0303822627529573	-0.185560751951608	-0.0352499414279477	-0.0802146589069885	0.0174999119157353	-0.117414126853634	-0.209698827886459	0.562999191022951	0.000208783594425142	-0.0204711865426434	0.305740720648289	0.188210632466421	0.0545923199313995	-0.0448690409389754	0.30292224778631	-0.185957182765941	0.0112387323992016	0.106384403701545	0.192231683949186	-0.0354462784287917	-0.0271706051358161	0.0457758406606305
P3_I12_M5	-0.0760457689315857	0.122489793324232	0.142789461718037	-0.0321587662320915	-0.174731132324337	-0.199731382529551	0.224335920599623	-0.218747335151013	-0.209418435775723	-0.0251004639140873	0.313446922798349	-0.0414920464425198	0.0541811262776283	-0.177259327943397	-0.0238754176701648	-0.0911862171276066	-0.00950212427598863	-0.131040466244643	-0.164728977237268	-0.0807301244510908	-0.114379348978161	0.341519268377236	0.0494911926156462	0.00436226000703654	0.195490571806341	-0.122614313143922	-0.121990120914566	-0.110769655505337	0.182164578896044	-0.0363549857292307	0.25150528591258	0.157102981538909	0.189762986382168	-0.142623971703083	-0.049486562241058	0.155560053005096	-0.193947092803696	0.00376256221421899	-0.0527573978439647	0.251400884967989	-0.0108421873341417	-0.133143941590291	0.10529171359738
