	ERR3470491	ERR3470495	ERR3470496	ERR3470497	ERR3470499	ERR3470501	ERR3470502	ERR3470503	ERR3470492	ERR3470493	ERR3470494	ERR3470484	ERR3470486	ERR3470487	ERR3470488	ERR3470490	ERR3470504	ERR3470505	ERR3470506	ERR3470507	ERR3470508	ERR3470510	ERR3470511	ERR3470512	ERR3470514	ERR3470515	ERR3470516	ERR3470517	ERR3470519	ERR3470520	ERR3470521	ERR3470522	ERR3470523	ERR3470524	ERR3470526	ERR3470527	ERR3470528	ERR3470529	ERR3470530	ERR3470531	ERR3470532	ERR3470535	ERR3470536
ENSG00000127720	197	44	131	187	249	114	415	131	146	54	183	168	71	226	192	189	96	208	151	271	239	390	109	271	464	118	78	183	493	266	165	70	91	78	152	85	139	162	152	76	172	115	254
ENSG00000275852	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000261140	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	3	0	0	0	2	0	1	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	1	0	0	0	0	1
ENSG00000221200	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237787	2	4	0	5	1	0	1	1	1	0	0	2	0	0	2	2	4	9	1	9	2	0	0	0	5	1	1	0	0	3	0	1	1	0	1	1	0	0	3	0	0	4	0
ENSG00000051596	288	43	48	71	70	52	238	99	102	52	91	28	25	92	148	150	56	404	78	83	263	215	85	85	251	41	86	185	274	201	73	27	92	45	154	58	119	36	122	57	50	199	93
ENSG00000250532	2	0	0	1	3	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
ENSG00000236211	2	1	0	2	3	0	0	1	0	0	0	2	0	0	0	2	3	5	6	5	2	0	1	0	4	3	0	1	0	5	0	0	0	1	4	1	0	1	1	1	0	4	0
ENSG00000236118	0	0	0	2	0	1	2	0	0	1	0	0	0	0	0	0	2	2	0	1	1	0	0	0	0	3	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0
ENSG00000214684	1	0	0	3	1	1	0	0	1	0	1	2	0	0	0	3	0	12	1	1	0	0	0	0	8	2	0	0	0	1	0	0	0	0	3	0	0	0	1	0	1	0	0
ENSG00000213697	0	1	0	1	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	3	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0
ENSG00000135541	608	63	225	261	253	194	912	253	539	155	269	164	56	190	503	148	165	496	163	334	624	587	200	225	393	94	93	368	789	447	178	67	181	94	380	104	153	130	210	84	54	250	314
ENSG00000252927	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000143376	820	321	873	1494	1010	743	2411	1454	795	302	1120	1222	493	2342	707	1360	707	481	828	2044	739	1934	530	1828	1359	597	562	720	1526	1522	428	345	449	943	1677	502	274	1708	2507	1895	550	636	1033
ENSG00000286035	7	4	1	4	8	12	8	9	3	0	1	9	0	5	1	3	4	7	6	6	6	8	1	2	11	4	5	4	2	15	1	0	2	4	18	1	2	4	9	2	1	1	12
ENSG00000279719	7	1	3	4	15	13	4	30	5	6	0	3	8	2	0	7	9	11	2	8	6	1	2	15	8	3	2	0	2	1	1	0	0	1	1	0	2	0	7	0	2	2	4
ENSG00000256006	6	6	6	6	7	1	4	8	2	3	5	1	1	3	8	1	6	14	2	10	8	5	5	8	2	14	5	5	11	7	2	0	1	2	4	2	2	2	3	1	1	2	0
ENSG00000258324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206917	2	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000274372	6	2	4	10	10	4	38	7	5	1	4	8	1	5	5	1	4	7	1	7	4	7	4	0	7	4	0	5	13	6	7	1	2	4	4	2	2	5	11	3	0	5	5
ENSG00000172172	918	145	175	230	270	187	755	150	364	114	192	117	68	202	471	142	178	841	159	313	607	481	290	286	705	102	100	449	546	308	257	53	168	71	137	65	183	142	160	72	142	234	538
