	ERR3470491	ERR3470495	ERR3470496	ERR3470497	ERR3470499	ERR3470501	ERR3470502	ERR3470503	ERR3470492	ERR3470493	ERR3470494	ERR3470484	ERR3470486	ERR3470487	ERR3470488	ERR3470490	ERR3470504	ERR3470505	ERR3470506	ERR3470507	ERR3470508	ERR3470510	ERR3470511	ERR3470512	ERR3470514	ERR3470515	ERR3470516	ERR3470517	ERR3470519	ERR3470520	ERR3470521	ERR3470522	ERR3470523	ERR3470524	ERR3470526	ERR3470527	ERR3470528	ERR3470529	ERR3470530	ERR3470531	ERR3470532	ERR3470535	ERR3470536
ENSG00000127720	30	9	3	40	26	10	35	16	7	8	10	17	5	7	15	12	17	27	35	42	33	30	12	16	53	18	8	25	44	24	16	3	18	7	25	6	5	13	27	13	13	15	21
ENSG00000275852	2	0	0	1	0	0	1	0	0	3	0	0	0	0	0	3	0	0	0	1	0	0	0	0	2	2	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000224440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000261140	0	0	0	0	2	0	1	0	2	0	3	3	0	1	0	0	0	0	0	2	1	2	1	0	2	0	1	2	3	0	1	0	1	2	0	1	0	0	2	3	1	1	4
ENSG00000221200	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237787	8	3	0	6	2	3	2	2	2	0	0	3	0	0	2	1	3	1	1	8	3	0	1	1	2	5	1	0	0	9	2	0	1	2	1	0	0	2	2	1	0	1	0
ENSG00000051596	13	0	0	5	3	1	0	6	3	0	2	2	0	1	1	5	9	9	10	4	6	2	2	5	18	5	3	2	0	10	7	0	3	1	2	0	3	5	7	1	1	6	4
ENSG00000250532	1	0	0	4	1	1	2	2	0	0	1	3	2	1	0	1	1	0	6	6	1	1	1	1	5	1	1	2	4	5	0	2	0	0	0	1	1	1	7	2	2	1	0
ENSG00000236211	8	1	0	6	2	1	0	1	1	1	1	3	2	1	0	0	1	4	2	2	0	0	1	1	1	1	0	0	1	1	1	0	0	2	3	1	1	0	3	0	0	1	0
ENSG00000236118	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
ENSG00000214684	1	0	0	1	2	0	0	0	0	0	1	2	0	0	1	1	3	2	1	3	0	0	0	0	3	2	0	0	0	0	2	0	0	1	2	1	0	0	0	0	0	0	0
ENSG00000213697	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
ENSG00000135541	32	7	2	34	23	10	27	26	30	9	5	26	3	6	10	12	16	38	29	50	29	17	5	9	60	18	10	11	7	35	14	4	4	10	42	7	7	9	14	13	5	30	2
ENSG00000252927	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0
ENSG00000143376	66	13	19	110	65	68	81	116	50	15	29	102	29	93	17	56	63	39	43	157	50	62	24	86	130	51	45	34	22	113	29	14	29	24	87	19	16	77	70	126	32	44	47
ENSG00000286035	181	52	84	93	191	160	295	352	223	47	121	178	24	244	97	66	48	74	97	259	146	226	94	84	160	59	71	141	240	265	56	24	50	99	310	37	52	89	412	106	23	65	117
ENSG00000279719	4	0	1	6	2	3	3	3	3	2	0	2	0	3	2	1	3	2	1	3	2	6	0	3	8	3	2	3	2	1	0	0	2	1	2	2	0	2	5	3	0	1	1
ENSG00000256006	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSG00000258324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206917	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000274372	3	0	0	4	3	2	0	2	3	0	0	3	0	0	0	2	1	3	1	13	5	1	0	1	2	2	2	0	0	3	3	0	0	1	2	2	0	1	2	0	0	1	0
ENSG00000172172	33	9	3	26	11	6	18	8	7	1	5	19	4	3	10	13	6	17	11	14	19	14	8	7	35	27	8	12	5	18	13	2	7	2	15	4	5	7	13	9	5	8	7
ENSG00000100218	9	4	11	24	24	16	18	5	8	4	10	7	11	2	9	5	7	9	5	27	9	12	9	11	28	14	6	3	46	21	7	0	2	9	11	4	6	17	13	11	20	11	21
ENSG00000278981	6	2	0	13	1	2	0	0	3	0	0	0	0	0	3	2	2	3	3	7	3	0	0	0	5	2	3	0	0	1	1	0	2	0	1	0	0	0	5	0	0	0	0
ENSG00000276645	3	0	0	2	1	0	1	0	0	0	0	2	0	0	0	0	1	1	0	0	1	0	0	1	1	0	2	0	1	0	0	0	0	0	3	0	0	1	2	1	0	0	0
ENSG00000199273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225937	31	3	0	50	20	14	2	18	7	9	2	16	4	8	6	19	21	30	20	61	11	16	1	19	65	25	8	4	1	26	16	1	8	4	21	4	4	19	8	19	2	23	7
ENSG00000132604	18	7	4	22	15	5	5	15	6	6	5	16	3	11	7	15	13	20	16	24	11	13	7	12	35	11	9	11	8	24	6	3	6	6	14	4	4	6	8	14	5	7	14
ENSG00000111218	8	4	2	13	9	1	0	3	1	1	0	4	0	0	3	7	4	4	6	8	3	1	4	3	15	4	2	2	0	9	2	0	3	6	2	1	4	1	1	2	0	4	0
ENSG00000254025	4	0	0	1	0	1	4	1	0	0	1	0	0	0	2	2	3	1	4	0	0	0	0	0	7	0	0	0	1	3	0	3	0	2	4	1	0	0	1	0	0	2	0
ENSG00000142185	5	6	1	15	6	6	11	7	5	3	4	13	4	20	9	7	16	10	10	37	5	2	3	12	22	8	4	3	0	26	3	2	1	8	11	2	2	4	15	5	2	15	6
ENSG00000162676	16	4	1	7	6	8	10	2	13	2	4	5	0	3	4	10	5	19	9	12	12	1	0	2	16	7	10	10	5	29	7	1	6	3	10	1	3	8	7	2	2	13	3
