	T5	T10	T15	T20	T25	T30	T35	T40
PF3D7_1314600	0	0	0	0	15	9	23	16
PF3D7_0621350	4	33	31	28	13	14	7	7
PF3D7_0209400	10	13	6	23	56	90	129	121
PF3D7_1142200	4	5	4	5	2	6	4	12
PF3D7_0507200	29	182	246	462	279	223	195	158
PF3D7_0806000	0	1	0	4	1	1	2	3
PF3D7_1006800	2	3	6	4	5	3	13	8
PF3D7_0412000	0	3	5	2	6	6	22	12
PF3D7_0732200	0	0	0	0	0	0	0	0
PF3D7_0324800	16	42	18	41	8	5	12	11
PF3D7_1227500	4	6	15	29	29	28	53	42
PF3D7_0301800	23	30	12	0	2	1	17	19
PF3D7_0920900	58	200	377	830	719	1027	1176	869
PF3D7_1443600	0	0	0	0	1	16	7	8
PF3D7_0415900	5	12	4	4	7	1	14	13
PF3D7_0214100	22	75	89	122	233	174	298	170
PF3D7_0726100	16	47	130	341	455	248	270	118
PF3D7_0717700	11	2	1	2	0	2	13	28
PF3D7_1342200	7	5	1	1	0	2	10	22
PF3D7_1400700	0	0	0	0	0	0	0	0
PF3D7_1322800	0	0	0	2	6	0	0	3
PF3D7_1477400	0	0	2	0	0	2	0	1
PF3D7_1106700	3	4	2	13	55	42	85	38
PF3D7_0621100	8	4	13	27	62	47	73	66
PF3D7_1040800	0	0	0	0	0	0	0	0
PF3D7_0909100	4	1	2	2	1	0	3	12
PF3D7_1342400	4	4	7	8	13	17	39	74
PF3D7_1028500	15	32	38	31	25	15	19	9
PF3D7_1419100	0	1	0	2	32	39	64	33
PF3D7_1448500	10	1	9	5	5	4	1	24
PF3D7_1125000	47	166	282	264	547	379	344	296
PF3D7_1468000	1	1	3	8	3	8	2	5
PF3D7_0500900	18	2	4	4	18	69	175	170
PF3D7_1207600	51	16	5	11	38	58	196	480
PF3D7_0311400	5	4	4	4	3	3	0	7
PF3D7_0722200	18	54	81	53	31	20	42	29
PF3D7_API02500	0	0	0	0	0	0	0	0
PF3D7_0515900	1	2	0	0	1	3	6	2
PF3D7_0319500	2	2	11	13	16	7	17	15
PF3D7_1450000	12	23	14	13	8	17	11	24
PF3D7_0300600	0	0	0	0	0	0	0	0
PF3D7_1443900	1	0	3	0	2	1	2	9
PF3D7_1222800	2295	314	92	28	10	13	21	161
PF3D7_1470100	200	634	656	763	596	532	360	221
PF3D7_0519700	2	6	17	3	3	3	0	1
PF3D7_1469700	221	32	20	51	290	374	625	876
PF3D7_1455700	3	1	0	1	3	1	2	6
PF3D7_1132100	26	4	1	9	9	19	21	29
PF3D7_0532200	0	9	7	18	27	52	86	29
PF3D7_0508700	34	3	6	8	20	6	18	27
PF3D7_1227400	22	3	2	0	2	5	21	105
PF3D7_1126200	8	12	29	38	26	14	34	57
PF3D7_1242500	0	0	2	2	2	0	5	7
PF3D7_0806700	442	256	263	289	223	180	251	371
PF3D7_0911100	7	1	1	0	0	4	4	19
PF3D7_0303500	0	2	1	0	3	11	3	3
PF3D7_0422800	86	54	20	8	26	14	25	19
PF3D7_0926300	34	28	69	56	30	73	430	932
PF3D7_1436400	0	0	0	0	0	0	1	3
PF3D7_1215600	0	1	0	0	0	0	2	1
PF3D7_0808700	2	2	0	0	5	1	4	23
PF3D7_1444700	79	52	40	58	41	28	27	25
PF3D7_1209600	2	0	0	6	4	4	3	7
PF3D7_0523800	66	73	60	81	47	46	105	192
PF3D7_1459700	33	54	57	46	46	24	48	108
PF3D7_1409000	25	43	44	110	91	53	63	30
PF3D7_1028900	44	13	4	3	2	3	11	59
PF3D7_1447100	26	103	117	139	165	140	110	124
PF3D7_1366000	177	29	6	8	1	0	2	12
PF3D7_1026000	5	0	2	0	0	0	1	14
PF3D7_0919800	6	11	42	76	216	227	190	104
PF3D7_0205000	5	0	2	1	21	22	57	64
PF3D7_1354200	2	1	3	1	1	3	1	3
PF3D7_1353200	2	5	14	7	2	5	13	1
PF3D7_0700300	0	0	0	0	0	0	0	0
PF3D7_0610800	243	270	483	290	286	206	287	359
PF3D7_0914300	178	102	89	142	80	33	41	81
PF3D7_1005200	33	46	35	47	63	25	46	22
PF3D7_0605000	16	14	17	39	15	9	16	23
PF3D7_0410900	81	14	11	16	46	33	59	217
PF3D7_1113700	1	0	0	0	1	2	11	8
PF3D7_1108800	1	6	3	7	6	3	1	3
PF3D7_1129400	10	3	3	3	1	0	1	16
PF3D7_1215000	2	0	0	0	1	1	2	7
PF3D7_0607000	7	12	16	17	12	12	15	21
PF3D7_0519600	3	10	8	3	0	2	4	11
PF3D7_1460600	44	94	179	242	321	236	269	253
PF3D7_1321700	93	185	192	170	71	47	66	93
PF3D7_0820000	2	3	5	8	5	7	17	12
PF3D7_0623900	308	159	130	164	140	98	158	290
PF3D7_0311900	15	6	3	2	11	42	110	341
PF3D7_1372900	0	0	0	0	0	0	0	0
PF3D7_0905600	11	15	32	47	66	46	97	146
PF3D7_1437700	2	1	1	1	11	30	44	10
PF3D7_1307100	5	8	24	19	20	33	58	48
PF3D7_1110300	56	89	93	73	86	78	128	119
PF3D7_0532400	0	1	4	4	13	7	11	5
PF3D7_0527500	38	10	12	10	34	27	123	157
PF3D7_0620600	101	16	26	17	8	13	134	284
PF3D7_1413400	2	0	0	1	0	0	0	2
PF3D7_1214700	1	0	0	1	8	3	18	36
PF3D7_1327000	6	5	2	1	1	3	4	1
PF3D7_0716300	7	3	5	3	6	5	10	13
PF3D7_1426600	0	2	2	3	0	0	2	2
PF3D7_0210400	1	0	1	2	0	2	2	0
PF3D7_0920800	249	58	10	10	4	1	3	49
PF3D7_1250000	2	2	2	1	3	2	5	4
PF3D7_1009200	60	21	4	5	2	7	31	60
PF3D7_0921900	3	1	1	0	0	1	4	4
PF3D7_1463300	9	12	12	14	20	8	10	8
PF3D7_0318400	16	9	4	13	6	10	24	52
PF3D7_1321100	3	2	0	2	1	3	5	11
PF3D7_1361300	518	45	7	10	3	17	42	196
PF3D7_1252900	604	189	129	62	280	190	251	170
PF3D7_1244800	93	194	237	189	132	106	137	229
PF3D7_1020100	1	0	2	5	5	0	1	0
PF3D7_0622600	0	0	3	0	1	2	0	3
PF3D7_0525000	18	19	5	9	4	0	7	14
PF3D7_0732500	0	0	0	5	0	0	0	0
PF3D7_1335300	444	77	24	10	12	1	70	311
PF3D7_0207000	32	15	11	10	2	2	12	3
PF3D7_0412300	0	0	1	0	2	1	2	3
PF3D7_1433400	16	11	13	19	17	13	22	50
PF3D7_1473600	9	8	48	67	71	45	52	56
PF3D7_1006900	7	2	12	5	6	11	12	25
PF3D7_1014800	0	0	0	3	17	8	10	3
PF3D7_1471900	8	4	2	1	3	7	24	10
PF3D7_1026600	21	6	3	1	0	1	2	1
PF3D7_0107600	1	1	2	0	0	2	2	7
PF3D7_0922100	6	9	9	6	2	11	23	61
PF3D7_1471000	10	9	7	4	6	5	7	4
PF3D7_1429200	2	0	2	9	26	30	40	97
PF3D7_0800100	24	8	8	23	24	30	41	62
PF3D7_1416400	6	1	2	15	12	23	36	66
PF3D7_0516200	29	13	9	18	1	10	6	37
PF3D7_1029600	16	3	7	3	4	3	6	10
