	PL01	PL02	3D7
PF3D7_1314600	3	1	0
PF3D7_0621350	0	0	0
PF3D7_0209400	380	146	43
PF3D7_1142200	5	2	1
PF3D7_0507200	255	100	273
PF3D7_0806000	47	23	4
PF3D7_1006800	26442	8136	15381
PF3D7_0412000	508	214	152
PF3D7_0732200	1	7	0
PF3D7_0324800	1	1	2
PF3D7_1227500	382	180	46
PF3D7_0301800	342	109	78
PF3D7_0920900	79	35	5
PF3D7_1443600	148	30	115
PF3D7_0415900	16098	5191	2793
PF3D7_0214100	2488	983	414
PF3D7_0726100	548	244	119
PF3D7_0717700	949	338	132
PF3D7_1342200	19	5	0
PF3D7_1400700	0	1	0
PF3D7_1322800	3	2	0
PF3D7_1477400	374	107	8
PF3D7_1106700	125	49	35
PF3D7_0621100	713	244	139
PF3D7_1040800	0	0	0
PF3D7_0909100	93	25	32
PF3D7_1342400	4866	1426	1289
PF3D7_1028500	192	77	36
PF3D7_1419100	104	20	24
PF3D7_1448500	1351	467	326
PF3D7_1125000	199	86	35
PF3D7_1468000	42	15	4
PF3D7_0500900	79	39	8
PF3D7_1207600	113	39	25
PF3D7_0311400	59	26	4
PF3D7_0722200	6923	2687	2656
PF3D7_API02500	0	0	0
PF3D7_0515900	196	94	12
PF3D7_0319500	2943	1096	1521
PF3D7_1450000	209	67	31
PF3D7_0300600	0	0	0
PF3D7_1443900	1165	456	68
PF3D7_1222800	4	0	0
PF3D7_1470100	143	58	9
PF3D7_0519700	3404	1387	738
PF3D7_1469700	28	8	0
PF3D7_1455700	103	61	11
PF3D7_1132100	29	11	2
PF3D7_0532200	32	12	2
PF3D7_0508700	262	77	75
PF3D7_1227400	145	65	19
PF3D7_1126200	12036	4142	1973
PF3D7_1242500	48	28	4
PF3D7_0806700	558	137	121
PF3D7_0911100	508	126	82
PF3D7_0303500	359	143	170
PF3D7_0422800	107	49	13
PF3D7_0926300	182	37	13
PF3D7_1436400	24	7	0
PF3D7_1215600	19	6	9
PF3D7_0808700	12	21	246
PF3D7_1444700	33	15	3
PF3D7_1209600	10	3	2
PF3D7_0523800	260	129	33
PF3D7_1459700	500	113	32
PF3D7_1409000	379	131	95
PF3D7_1028900	45	16	4
PF3D7_1447100	618	163	125
PF3D7_1366000	22	2	5
PF3D7_1026000	1412	450	463
PF3D7_0919800	151	80	37
PF3D7_0205000	9	5	2
PF3D7_1354200	57	16	18
PF3D7_1353200	2863	1297	1356
PF3D7_0700300	0	0	0
PF3D7_0610800	2303	713	393
PF3D7_0914300	356	134	103
PF3D7_1005200	12	9	2
PF3D7_0605000	35	15	3
PF3D7_0410900	506	181	76
PF3D7_1113700	367	156	174
PF3D7_1108800	3	1	0
PF3D7_1129400	773	243	118
PF3D7_1215000	16	7	0
PF3D7_0607000	5082	2047	1245
PF3D7_0519600	170	83	76
PF3D7_1460600	54	28	18
PF3D7_1321700	37739	10852	23261
PF3D7_0820000	1724	585	334
PF3D7_0623900	121	56	5
PF3D7_0311900	23	11	2
PF3D7_1372900	0	1	1
PF3D7_0905600	29	5	0
PF3D7_1437700	33	13	5
PF3D7_1307100	153	53	53
PF3D7_1110300	201	60	92
PF3D7_0532400	1394	874	208
PF3D7_0527500	12934	3389	5276
PF3D7_0620600	6	1	0
PF3D7_1413400	353	139	44
PF3D7_1214700	9	3	1
PF3D7_1327000	88	28	19
PF3D7_0716300	1949	867	538
PF3D7_1426600	33	21	3
PF3D7_0210400	283	125	32
PF3D7_0920800	1458	486	288
PF3D7_1250000	399	167	95
PF3D7_1009200	171	65	136
PF3D7_0921900	484	158	61
PF3D7_1463300	196	88	43
PF3D7_0318400	18	9	3
PF3D7_1321100	458	174	229
PF3D7_1361300	1	2	0
PF3D7_1252900	69	21	52
PF3D7_1244800	2279	598	418
PF3D7_1020100	35	11	3
PF3D7_0622600	49	20	7
PF3D7_0525000	844	301	104
PF3D7_0732500	0	2	0
PF3D7_1335300	834	240	168
PF3D7_0207000	10385	3347	3544
PF3D7_0412300	5	4	0
PF3D7_1433400	1703	484	257
PF3D7_1473600	16	8	1
PF3D7_1006900	144	63	10
PF3D7_1014800	13	4	1
PF3D7_1471900	142	45	21
PF3D7_1026600	5511	1599	1161
PF3D7_0107600	10	1	0
PF3D7_0922100	3165	1218	1219
PF3D7_1471000	161	45	13
PF3D7_1429200	150	51	14
PF3D7_0800100	11	17	60
PF3D7_1416400	55	19	5
PF3D7_0516200	4063	1325	418
PF3D7_1029600	1602	822	478
PF3D7_0517100	59	27	7
PF3D7_1125200	20	8	1
PF3D7_1114800	127	36	39
PF3D7_0520800	581	223	49
PF3D7_0805600	292	105	45
PF3D7_1320900	267	63	56
PF3D7_1242600	79	33	44
PF3D7_0313500	42	19	15
PF3D7_1310700	4083	948	417
PF3D7_1209900	240	73	110
PF3D7_1302400	8	4	0
PF3D7_1300100	31	21	51
PF3D7_1448000	482	161	247
PF3D7_0614200	86	22	26
PF3D7_1221900	997	453	422
PF3D7_0322900	41340	13401	8787
PF3D7_0934100	1252	390	196
PF3D7_0918100	328	111	65
PF3D7_1018100	5	4	0
PF3D7_1019400	9836	3607	603
PF3D7_1211200	273	106	64
PF3D7_0518300	1370	539	179
PF3D7_1023200	68	21	12
PF3D7_1222300	19685	6878	12198
PF3D7_0518400	5	1	1
PF3D7_1009400	2873	754	1217
PF3D7_0630000	21	8	3
PF3D7_1320100	67	40	25
PF3D7_1100700	6	0	0
PF3D7_1302200	29	6	12
PF3D7_1221300	270	136	140
PF3D7_0616800	229	59	109
PF3D7_1429700	506	225	101
PF3D7_1441700	15	4	2
PF3D7_0415300	15113	5197	9399
PF3D7_0806800	5551	1646	4316
PF3D7_1119300	3317	1331	1860
PF3D7_0222900	4	5	0
PF3D7_0105800	553	218	179
PF3D7_0526600	1526	426	292
PF3D7_1423800	429	181	40
PF3D7_0822100	23	5	1
PF3D7_0924100	106	36	78
PF3D7_0918400	42	25	9
PF3D7_1441000	226	60	26
PF3D7_1015100	68	24	12
PF3D7_0322400	185	68	46
PF3D7_0507500	2032	581	541
PF3D7_0521100	9	6	2
PF3D7_1254400	3	3	2
PF3D7_1107400	809	307	275
PF3D7_0810800	403	179	71
PF3D7_0830900	235	85	9
PF3D7_1438000	262	131	54
PF3D7_0937200	34	22	8
PF3D7_0832100	4	4	0
PF3D7_1471800	64	25	0
PF3D7_1454200	111	36	5
PF3D7_1348600	250	81	115
PF3D7_1203700	13982	4859	4002
PF3D7_1247300	74	24	17
PF3D7_1113100	2172	875	429
PF3D7_0928800	76	17	41
PF3D7_0601300	0	0	0
PF3D7_1033200	2489	1239	565
PF3D7_0702500	7629	3639	5779
PF3D7_1362200	1527	542	439
PF3D7_1113300	115	80	12
PF3D7_1138500	5058	1713	2003
PF3D7_1421900	62	35	9
PF3D7_1421200	1104	425	62
PF3D7_1443800	215	91	31
PF3D7_0100200	2	0	0
PF3D7_0406000	82	35	54
PF3D7_1408300	1	0	0
PF3D7_0816300	13	8	4
PF3D7_1352200	284	86	47
PF3D7_1122100	51	12	5
PF3D7_1320200	25	14	14
PF3D7_0508200	106	28	18
PF3D7_1121600	6218	1637	1550
PF3D7_1231400	143	35	13
PF3D7_1216500	684	219	15
