	SRR065639	SRR065640	SRR065641	SRR065642	SRR065643	SRR065644	SRR065645	SRR065646
PF3D7_1314600	13	108	137	180	400	278	313	114
PF3D7_0621350	0	0	0	0	0	0	0	0
PF3D7_0209400	87	319	439	442	795	886	1495	819
PF3D7_1142200	10	9	2	22	86	158	232	57
PF3D7_0507200	485	124	97	121	101	69	259	867
PF3D7_0806000	169	624	948	1248	1857	1589	2318	1133
PF3D7_1006800	6447	14725	14325	12465	13427	9570	12631	6096
PF3D7_0412000	237	160	136	385	1570	2400	5317	3497
PF3D7_0732200	0	0	0	7	27	9	0	0
PF3D7_0324800	6	9	7	19	11	3	9	22
PF3D7_1227500	1270	652	265	132	556	2957	15126	13435
PF3D7_0301800	5685	4809	1500	281	102	67	71	90
PF3D7_0920900	368	843	1265	1301	1692	1496	2450	1076
PF3D7_1443600	43	37	18	31	305	447	885	617
PF3D7_0415900	3685	15028	18092	22138	26217	16185	22690	11796
PF3D7_0214100	4633	6284	6117	5333	4544	3632	7018	6148
PF3D7_0726100	6894	10823	7547	4262	2108	960	721	222
PF3D7_0717700	609	2095	3166	3774	3917	3704	6070	3471
PF3D7_1342200	45	20	16	85	506	495	441	173
PF3D7_1400700	0	3	0	0	6	2	0	0
PF3D7_1322800	13	9	9	6	32	120	268	188
PF3D7_1477400	21	15	16	62	385	405	554	429
PF3D7_1106700	331	692	918	1254	1761	1298	2143	1127
PF3D7_0621100	1486	417	117	79	95	200	813	3108
PF3D7_1040800	0	0	0	0	0	0	0	0
PF3D7_0909100	108	74	50	38	20	22	178	427
PF3D7_1342400	1011	2769	2707	2988	3991	4140	6447	3747
PF3D7_1028500	1307	1829	1992	1826	1983	1339	2087	1252
PF3D7_1419100	1664	2896	3293	2857	3204	2001	2557	838
PF3D7_1448500	2778	1313	450	823	5717	9350	23787	19415
PF3D7_1125000	82	89	86	122	265	366	946	1043
PF3D7_1468000	198	118	39	53	199	437	972	412
PF3D7_0500900	106	34	13	10	48	120	198	297
PF3D7_1207600	215	823	1087	1244	1895	1285	1343	414
PF3D7_0311400	709	443	179	114	122	78	129	189
PF3D7_0722200	28062	5854	831	241	51	48	2969	28988
PF3D7_API02500	0	0	0	0	0	0	0	0
PF3D7_0515900	85	33	31	126	322	348	645	579
PF3D7_0319500	517	1603	2078	2448	2855	2816	4601	1983
PF3D7_1450000	1348	823	520	469	544	381	541	484
PF3D7_0300600	0	0	0	0	0	0	0	0
PF3D7_1443900	123	159	167	808	2507	2305	4003	2003
PF3D7_1222800	22	35	18	15	44	87	142	90
PF3D7_1470100	50	90	251	451	1447	1228	1549	753
PF3D7_0519700	2552	3263	3979	3566	3769	2334	3927	2452
PF3D7_1469700	66	54	36	61	410	656	1172	579
PF3D7_1455700	454	240	94	51	415	1288	3721	2677
PF3D7_1132100	9	6	10	2	13	13	17	11
PF3D7_0532200	25	37	38	34	67	90	153	160
PF3D7_0508700	2092	3659	4370	4648	5896	3806	7393	4127
PF3D7_1227400	637	831	1009	1131	1431	1192	2760	2308
PF3D7_1126200	1794	5987	8167	9200	10883	7369	10167	6486
PF3D7_1242500	61	32	15	19	191	640	1668	913
PF3D7_0806700	1442	4320	5341	3974	3336	3368	6546	3214
PF3D7_0911100	27016	6924	889	248	90	89	282	1522
PF3D7_0303500	356	214	92	178	1297	2534	6065	3742
PF3D7_0422800	217	98	16	30	74	159	511	508
PF3D7_0926300	904	229	109	78	209	546	828	453
PF3D7_1436400	70	82	131	202	425	333	455	173
PF3D7_1215600	57	26	26	19	81	221	491	359
PF3D7_0808700	41	28	39	38	40	35	120	172
PF3D7_1444700	46	33	21	29	163	282	485	279
PF3D7_1209600	146	40	5	10	3	27	31	50
PF3D7_0523800	551	1042	1145	706	388	309	838	643
PF3D7_1459700	46	59	45	50	246	576	843	369
PF3D7_1409000	179	730	987	1021	1370	832	992	456
PF3D7_1028900	534	123	24	6	12	8	17	149
PF3D7_1447100	486	1175	1374	1188	1210	858	1386	851
PF3D7_1366000	138	93	176	178	217	156	169	79
PF3D7_1026000	1302	6745	11338	12481	13181	8145	10153	3618
PF3D7_0919800	2216	2701	2058	857	725	1561	5460	6070
PF3D7_0205000	142	176	124	101	156	653	1020	381
PF3D7_1354200	630	341	399	516	955	659	836	1098
PF3D7_1353200	4685	14257	14290	8487	1022	196	227	128
PF3D7_0700300	0	0	0	0	0	0	0	0
PF3D7_0610800	2402	4734	5565	5571	6946	5309	5096	2103
PF3D7_0914300	436	1127	1542	1447	1970	1052	1139	345
PF3D7_1005200	10	11	18	9	6	3	11	13
PF3D7_0605000	16	22	13	23	172	350	401	154
PF3D7_0410900	162	419	750	966	1115	1139	1718	739
PF3D7_1113700	60	245	371	411	597	677	968	375
PF3D7_1108800	12	18	19	26	23	19	42	24
PF3D7_1129400	948	5258	7515	7907	9713	5717	5260	1328
PF3D7_1215000	104	72	30	28	71	269	682	731
PF3D7_0607000	13989	34790	34726	33298	37794	30128	39996	16496
PF3D7_0519600	167	682	976	1160	1479	1328	1880	1191
PF3D7_1460600	1299	467	265	269	505	237	555	858
PF3D7_1321700	5717	13329	13635	13046	16582	12022	16676	7613
PF3D7_0820000	1979	5342	6765	6242	7570	5275	7631	3043
PF3D7_0623900	47	65	29	89	414	575	913	533
PF3D7_0311900	31	19	13	28	163	248	364	218
PF3D7_1372900	2	0	0	1	0	1	0	0
PF3D7_0905600	28	19	13	11	4	10	8	10
PF3D7_1437700	116	66	40	23	91	317	1133	1044
PF3D7_1307100	1575	2746	3144	2750	3062	2152	2671	887
PF3D7_1110300	891	1539	1707	2071	3076	2013	1809	748
PF3D7_0532400	283	2321	10004	18490	18256	11050	11242	2907
PF3D7_0527500	7099	13928	13961	16152	26590	27175	28243	10222
PF3D7_0620600	73	85	130	137	161	92	131	104
PF3D7_1413400	116	90	61	46	498	950	2453	1855
PF3D7_1214700	13	43	43	76	119	168	255	144
PF3D7_1327000	138	583	1008	1207	1834	1516	1825	704
PF3D7_0716300	604	315	361	1810	8426	11404	28383	20223
PF3D7_1426600	503	170	49	34	121	859	2949	2516
PF3D7_0210400	19	11	8	93	510	646	1070	515
PF3D7_0920800	902	2890	3736	3746	3941	2131	1218	281
PF3D7_1250000	516	1217	1541	1666	1845	1134	1549	690
PF3D7_1418500	0	0	0	0	0	0	1	0
PF3D7_1009200	279	559	748	588	735	515	606	181
PF3D7_0921900	2709	5665	6068	6283	6545	4798	7025	2646
PF3D7_1463300	46	22	23	25	222	456	830	572
PF3D7_0318400	78	49	63	41	22	59	131	77
PF3D7_1321100	4348	1015	161	72	43	113	1009	6886
PF3D7_1361300	69	70	87	73	48	43	108	55
PF3D7_1252900	2184	1498	812	199	120	120	73	35
PF3D7_1244800	956	3805	4486	5258	6796	4759	6220	2125
PF3D7_1020100	111	45	27	27	14	8	10	12
PF3D7_0622600	78	27	8	7	105	288	802	709
PF3D7_0525000	80	145	264	646	1376	602	480	206
PF3D7_0732500	7	1	2	1	4	2	0	0
PF3D7_1335300	16324	4987	591	193	126	143	305	1732
PF3D7_0207000	7768	2031	259	98	508	1709	7599	14672
PF3D7_0412300	18	36	43	73	146	144	356	286
PF3D7_1433400	5317	4281	8916	12657	23296	19024	41217	35710
PF3D7_1473600	16	53	179	156	445	522	484	98
PF3D7_1006900	43	183	191	199	315	271	529	412
PF3D7_1014800	41	30	20	21	16	55	144	108
PF3D7_1471900	516	1685	1910	1678	1823	2165	2897	1052
PF3D7_1026600	149874	56962	7638	2895	1909	1242	1632	7126
PF3D7_0107600	118	97	42	29	24	47	65	53
PF3D7_0922100	9346	16416	17784	13311	10962	10209	15978	6441
PF3D7_1471000	388	583	722	756	1131	572	467	139
PF3D7_1429200	90	103	126	80	103	198	293	161
PF3D7_0800100	142	114	155	170	398	151	389	835
PF3D7_1416400	263	298	201	124	86	97	165	82
PF3D7_0516200	937	3788	4270	5484	5995	3768	4410	2835
PF3D7_1029600	805	3163	5200	4194	5989	9777	11689	5615
PF3D7_0517100	68	118	53	150	416	384	461	154
PF3D7_1125200	76	321	743	1203	1911	1144	1210	438
PF3D7_1114800	76	43	26	16	9	20	72	283
PF3D7_0520800	248	353	581	941	1999	2333	5356	2646
PF3D7_0805600	4380	2160	1050	934	1711	1102	1314	866
PF3D7_1320900	42	184	230	233	311	236	386	232
PF3D7_1242600	75	364	668	758	826	501	598	286
PF3D7_0313500	76	400	630	679	674	503	752	312
PF3D7_1310700	32325	9275	1129	294	91	70	111	4102
PF3D7_1209900	66	41	23	115	578	702	1296	905
PF3D7_1302400	30	22	10	14	11	21	15	15
PF3D7_1300100	427	215	69	46	153	103	251	615
PF3D7_1448000	859	2203	2733	2679	2752	1618	1395	511
PF3D7_0614200	143	320	300	382	593	383	474	168
PF3D7_MIT01700	4	2	1	3	6	24	48	49
PF3D7_1221900	3783	6839	6180	5106	2667	962	653	582
PF3D7_0322900	1451	6048	8524	11102	13964	9402	11930	6160
PF3D7_0934100	158	360	521	743	962	968	1357	892
PF3D7_0918100	547	1455	1546	1094	816	665	825	796
PF3D7_1018100	6	4	6	9	42	11	23	34
PF3D7_1019400	491	1721	2965	3738	5082	2994	3540	2040
PF3D7_1211200	2639	3799	4236	3630	4250	2927	5060	2763
PF3D7_0518300	265	393	801	1234	2329	2076	4547	3980
PF3D7_1023200	112	391	557	676	900	728	937	359
PF3D7_1222300	1262	2692	5558	8962	16180	16456	33704	22109
PF3D7_0518400	4	4	3	14	34	18	37	39
PF3D7_1009400	155	343	355	390	542	492	889	505
PF3D7_0630000	10	7	8	9	10	8	4	3
PF3D7_1320100	78	38	21	16	87	210	577	505
PF3D7_1100700	0	0	0	3	7	0	0	0
PF3D7_1302200	328	54	22	9	19	42	56	26
PF3D7_1221300	472	177	95	52	345	1055	1835	2470
PF3D7_0616800	45	54	144	434	637	588	1236	834
PF3D7_1429700	218	452	749	910	1098	1242	2520	1483
PF3D7_1441700	12	14	9	13	69	175	220	113
PF3D7_0415300	2458	6735	7472	6807	7503	5410	5695	2029
PF3D7_0806800	11530	7722	6652	6628	6926	4610	7196	6379
PF3D7_1119300	2063	3765	3356	3073	3721	3244	4209	2242
PF3D7_0222900	0	0	0	0	0	0	0	1
PF3D7_0105800	875	289	110	61	407	1414	3827	3991
PF3D7_0526600	213	198	119	151	767	1079	1619	685
PF3D7_1423800	767	1769	2337	2037	1907	1394	2887	1868
PF3D7_0822100	120	366	598	698	850	513	575	224
PF3D7_0924100	197	379	583	656	875	578	1047	703
PF3D7_0918400	44	45	32	30	70	225	489	420
PF3D7_1441000	1428	2131	1758	1643	1561	1535	2947	1432
PF3D7_1015100	234	307	304	316	469	421	928	909
PF3D7_0322400	451	2305	3073	2877	2963	2162	2120	688
PF3D7_0507500	10755	2866	379	113	87	66	112	1066
PF3D7_0521100	10	3	3	3	19	52	93	84
PF3D7_1254400	4	7	5	0	0	0	0	0
