gene	P4	P5	P6	P7	P8	P9	P10	PE Fitness	PE vs. Cell Culture Differential Fitness	PE p-value	PE Composite Score	Liver Fitness	Liver vs. Cell Culture Differential Fitness	Liver p-value	Liver Composite Score	Spleen Fitness	Spleen vs. Cell Culture Differential Fitness	Spleen p-value	Spleen Composite Score	Lung Fitness	Lung vs. Cell Culture Differential Fitness	Lung p-value	Lung Composite Score
TGGT1_272460	-0.627135684521544	-0.864093508698612	-1.25007738109051	-1.38395437783312	-1.82063480913117	-1.64211331163743	-1.94196166966935	-8.03864688483634	-5.58559261045605	9.56E-144	-798.848137543451	-6.92294114689351	-4.97065243087491	1.95E-57	-281.881650479376	-6.32198475471284	-3.6776897228572	1.04E-16	-58.7826824669903	-5.89000959421188	-3.72497827873244	4.70E-37	-135.322117409825
TGGT1_305800	-0.894405137813242	-0.819067567006242	-1.03672335726905	-1.46633699979425	-1.69130829879076	-2.01147843549207	-2.30034665105216	-7.45547482148476	-5.53156832732012	6.84E-128	-703.4226966816	-7.62727358110135	-5.54850120119215	9.60E-70	-382.944657144795	-9.10137440771527	-6.92569239754176	7.70E-54	-367.847053970432	-8.3041730812305	-6.28443717654177	1.33E-59	-369.998233879703
TGGT1_411430	-0.14681245886426	-0.193090984985588	-0.26795944470114	-0.344017831137948	-0.374061738563602	-0.354700818484496	-0.404429898315069	-6.11424355780803	-5.80889928964834	2.63E-67	-576.782993643531	-8.11796944910155	-7.4585159346842	1.00E-49	-577.272137144766	-8.75686542554713	-7.85660486420899	1.34E-44	-478.587177594981	-8.13980404486795	-7.45003578713302	2.61E-53	-452.76597256715
TGGT1_308090	0.546160725994317	0.55072237038386	0.45770262120509	0.428743470464771	0.4928117186588	0.504558151157358	0.424546883897284	-4.36130270468209	-4.96077100439889	9.08E-104	-511.167387449766	-6.09171592293408	-6.72786630467233	2.78E-57	-380.498205371684	-8.20122944208467	-8.28485584621917	2.42E-64	-527.058303014305	-8.88328023855726	-9.28745763941251	1.04E-90	-835.703992581106
TGGT1_300220	-1.62335221997648	-2.07704475445276	-2.48887484394095	-3.0879689739031	-3.39556056000712	-3.68494511958774	-4.08144598839607	-8.27643851181998	-4.98306267151413	3.68E-92	-455.624435889831	-9.03095673962289	-5.4094308814329	1.75E-68	-366.525684512862	-9.8672188406535	-5.92861563425115	1.80E-47	-277.125084191556	-9.65819847654872	-5.79409573070289	2.63E-69	-397.360857864423
TGGT1_304680	-1.15540928961362	-1.57656122679233	-2.04483005577737	-2.52894640686095	-3.03707275676791	-3.3182601554205	-4.0724279394157	-8.12958326859295	-4.7623079197025	2.14E-95	-450.843905087099	-8.74232920523329	-5.10705199227111	1.14E-54	-275.498171916543	-9.26428921515962	-5.64211592818382	9.33E-59	-327.413528301338	-9.8082931863648	-6.09823847547349	7.23E-71	-427.737154741149
TGGT1_250680	-1.5884903058538	-1.85777784479794	-1.78363560525933	-2.09546820547413	-1.92456907136293	-2.12288257756613	-2.09519828773755	-6.51758074260472	-4.18012732456324	9.24E-107	-443.237399131377	-7.07331622745379	-4.14792021117146	2.73E-39	-159.962304675034	-7.38719940257829	-4.33266511890923	5.84E-34	-143.988935854456	-8.08709872007317	-5.24118277924558	1.43E-49	-256.007025650099
TGGT1_200370	-1.38297244968272	-1.98557999577182	-2.66208208386735	-4.04332426285142	-5.2369799996173	-6.14019963317879	-6.93403564988258	-9.25295471761137	-4.04199630365909	1.27E-102	-411.861651406632	-8.19639567267951	-2.76601054121622	1.80E-31	-85.037638489687	-9.22615957826535	-3.38274601302582	6.20E-23	-75.1235680310519	-9.46961692309458	-3.59120679007677	2.90E-46	-163.53370154397
TGGT1_253780	0.842375831364007	0.79254762793255	0.59337573185015	0.217006325535983	0.1021598941158	-0.212051434210395	-0.560525046865465	-5.06584332069211	-5.25791973312353	7.29E-77	-400.324005096442	-6.39978055491187	-6.44447854453659	1.90E-76	-487.991200054975	-7.26519476318943	-6.94472114204903	2.54E-45	-309.696252877261	-7.30320895812112	-7.20262647375054	1.26E-65	-467.459512392295
TGGT1_310460	-1.87703987834128	-1.95937714378212	-2.55532229277099	-2.93501948855589	-2.99764845066672	-3.58291494062751	-3.81722351746789	-7.75593402204101	-4.63805081039831	2.65E-80	-369.080269960856	-8.69411133035396	-5.03055254460659	1.51E-41	-205.348999738901	-9.2326830323537	-5.28626818168025	1.00E-32	-169.153066197747	-8.79149195959541	-5.09958964113869	8.89E-27	-132.849145071584
